title	filepath	directory	class_name	class_idx	global_label
Bighorn Sheep (Ovis canadensis)	imagenet_images_flickr/n02415577/1582877587.jpg	n02415577	bighorn	52	209
Sandy	imagenet_images_flickr/n02894605/1096872575.jpg	n02894605	breakwater	719	224
Sweaty	imagenet_images_flickr/n07718472/147006605.jpg	n07718472	cucumber	743	14
More glazed mushrooms	imagenet_images_flickr/n07734744/2993506122.jpg	n07734744	mushroom	746	85
PICT0855cc	imagenet_images_flickr/n04376876/1844720360.jpg	n04376876	syringe	531	179
Magpie in flight	imagenet_images_flickr/n01582220/167876101.jpg	n01582220	magpie	394	222
Pier 14 and the Bay Bridge	imagenet_images_flickr/n03933933/508839990.jpg	n03933933	pier	596	218
pineapple	imagenet_images_flickr/n07753275/50251064.jpg	n07753275	pineapple	322	220
New Dog!	imagenet_images_flickr/n02108089/2111176545.jpg	n02108089	boxer	130	240
Matching Mittens	imagenet_images_flickr/n03775071/1718839502.jpg	n03775071	mitten	871	62
_IGP9650	imagenet_images_flickr/n02398521/92558137.jpg	n02398521	hippopotamus	167	81
Psychopyge elegans	imagenet_images_flickr/n01768244/524161390.jpg	n01768244	trilobite	601	232
crop2004-10-20 022	imagenet_images_flickr/n03355925/140072165.jpg	n03355925	flagpole	995	108
Baby Orangutan	imagenet_images_flickr/n02480495/909665086.jpg	n02480495	orangutan	83	145
dishcloth detail	imagenet_images_flickr/n03207743/466416043.jpg	n03207743	dishrag	821	56
Fort Grosnez from the Breakwater, Alderney	imagenet_images_flickr/n02894605/3465786802.jpg	n02894605	breakwater	719	224
Carousel Ride	imagenet_images_flickr/n02966193/399003449.jpg	n02966193	carousel	568	178
DJ Microphone	imagenet_images_flickr/n03759954/3161618218.jpg	n03759954	microphone	509	47
Old Barn In The Corn	imagenet_images_flickr/n02793495/2788795117.jpg	n02793495	barn	683	100
Coffs Harbour War Memorial - 50	imagenet_images_flickr/n02892201/258435092.jpg	n02892201	brass	716	176
What a beautiful smell	imagenet_images_flickr/n02100583/502476862.jpg	n02100583	vizsla	90	64
Landing gear down - Explored	imagenet_images_flickr/n02206856/2651621464.jpg	n02206856	bee	630	204
Cicadella viridis : 27495b	imagenet_images_flickr/n02259212/778157253.jpg	n02259212	leafhopper	637	154
strawberries	imagenet_images_flickr/n07745940/757330799.jpg	n07745940	strawberry	229	133
Collie	imagenet_images_flickr/n02106030/1359427622.jpg	n02106030	collie	124	84
Corbin on the Railing	imagenet_images_flickr/n04509417/42796251.jpg	n04509417	unicycle	292	193
Swiss Cross	imagenet_images_flickr/n04592741/578150176.jpg	n04592741	wing	503	32
Laptop fingerprint reader	imagenet_images_flickr/n03642806/1491805144.jpg	n03642806	laptop	228	82
Lighthouse at dusk	imagenet_images_flickr/n02814860/1387837352.jpg	n02814860	beacon	733	5
Let's just put a head on the bird	imagenet_images_flickr/n01855672/18922577.jpg	n01855672	goose	420	127
Ant looking for a Home	imagenet_images_flickr/n02219486/8712617.jpg	n02219486	ant	224	137
Red-Whiskered Bulbul 1 (Pycnonotus jocosus)	imagenet_images_flickr/n01560419/1871361699.jpg	n01560419	bulbul	392	132
Noisy Friend	imagenet_images_flickr/n02256656/438048333.jpg	n02256656	cicada	636	189
Sandhill crane (Grus canadensis)	imagenet_images_flickr/n02012849/2194410605.jpg	n02012849	crane	429	166
Black Oystercatcher Haematopus bachmani  black-oystercatcher_mg_1441e	imagenet_images_flickr/n02037110/324402476.jpg	n02037110	oystercatcher	437	111
Pygmy mongoose Playing	imagenet_images_flickr/n02137549/298661636.jpg	n02137549	mongoose	74	231
Headland	imagenet_images_flickr/n09399592/69217830.jpg	n09399592	promontory	363	188
Wood Drake	imagenet_images_flickr/n01847000/284306412.jpg	n01847000	drake	418	101
NovaAria 2009, Enzo Vacca quintet, tra l'arpe, Novara Piemonte	imagenet_images_flickr/n03495258/4040945582.jpg	n03495258	harp	344	158
Starfish	imagenet_images_flickr/n02317335/404445081.jpg	n02317335	starfish	225	163
19	imagenet_images_flickr/n02058221/2880701621.jpg	n02058221	albatross	441	102
hinchinbrook	imagenet_images_flickr/n09421951/1398454977.jpg	n09421951	sandbar	364	89
Crochet Dishcloths	imagenet_images_flickr/n03207743/2985284118.jpg	n03207743	dishrag	821	56
Panthera Onca	imagenet_images_flickr/n02128925/2214878126.jpg	n02128925	jaguar	30	156
UCSD 2009 Graduations - Revelle	imagenet_images_flickr/n03787032/3629901804.jpg	n03787032	mortarboard	854	43
Violet Sabrewing	imagenet_images_flickr/n01833805/2592521571.jpg	n01833805	hummingbird	415	160
Ellenborough Nancy	imagenet_images_flickr/n01882714/400208328.jpg	n01882714	koala	213	187
Starmania Finale Oliver Wimmer	imagenet_images_flickr/n04296562/3245097982.jpg	n04296562	stage	804	123
Roseate spoonbill	imagenet_images_flickr/n02006656/303214644.jpg	n02006656	spoonbill	424	122
P1010052	imagenet_images_flickr/n02112137/54626071.jpg	n02112137	chow	168	185
Spring Leaves Necklace	imagenet_images_flickr/n03814906/4304695878.jpg	n03814906	necklace	755	83
Sundial	imagenet_images_flickr/n04355338/124369888.jpg	n04355338	sundial	526	69
snail	imagenet_images_flickr/n01944390/3633608427.jpg	n01944390	snail	653	223
9th August 2009	imagenet_images_flickr/n02869837/3804519773.jpg	n02869837	bonnet	805	39
Bird of Freedom Mittens	imagenet_images_flickr/n03775071/3269833554.jpg	n03775071	mitten	871	62
Maybe Mittens	imagenet_images_flickr/n03775071/3050627394.jpg	n03775071	mitten	871	62
Guacamole	imagenet_images_flickr/n07583066/2442626373.jpg	n07583066	guacamole	813	236
IMG_0681	imagenet_images_flickr/n07749582/2262870635.jpg	n07749582	lemon	320	171
118-1860_IMG	imagenet_images_flickr/n02128385/230895413.jpg	n02128385	leopard	85	212
Starfish 2	imagenet_images_flickr/n02317335/2061699812.jpg	n02317335	starfish	225	163
Imani's nap	imagenet_images_flickr/n02398521/1465283528.jpg	n02398521	hippopotamus	167	81
Heart dishcloth	imagenet_images_flickr/n03207743/2249365820.jpg	n03207743	dishrag	821	56
Sculpture Vault	imagenet_images_flickr/n04523525/284168550.jpg	n04523525	vault	990	227
drinks in a syringe,a weird place called Lock Up	imagenet_images_flickr/n04376876/974451337.jpg	n04376876	syringe	531	179
Duck.	imagenet_images_flickr/n01847000/75441857.jpg	n01847000	drake	418	101
Labyrinth_side	imagenet_images_flickr/n03733281/52904097.jpg	n03733281	maze	922	211
cock / gall	imagenet_images_flickr/n01514668/3184474067.jpg	n01514668	cock	383	61
Peacock II	imagenet_images_flickr/n01806143/2397431266.jpg	n01806143	peacock	405	201
Babete/ Bib  #5	imagenet_images_flickr/n02834397/565333192.jpg	n02834397	bib	941	165
Ferocious!	imagenet_images_flickr/n02137549/375408130.jpg	n02137549	mongoose	74	231
Castle Liechtenstein - Austria	imagenet_images_flickr/n02980441/1196256114.jpg	n02980441	castle	701	129
Roly Poly Junco	imagenet_images_flickr/n01534433/370977755.jpg	n01534433	junco	389	51
born on 10/09/2007	imagenet_images_flickr/n02342885/2116910637.jpg	n02342885	hamster	157	183
Sunglasses At Night	imagenet_images_flickr/n04356056/2044466648.jpg	n04356056	sunglasses	535	60
大算盤	imagenet_images_flickr/n02666196/3408581078.jpg	n02666196	abacus	547	80
Flamingos	imagenet_images_flickr/n02007558/989096529.jpg	n02007558	flamingo	425	59
Conch  - Christopher D. LeClaire photo, 2007	imagenet_images_flickr/n01943899/2635561697.jpg	n01943899	conch	652	117
My little drumline	imagenet_images_flickr/n03249569/2987615326.jpg	n03249569	drum	336	180
Beltane Festival 2008	imagenet_images_flickr/n03733131/2463095204.jpg	n03733131	maypole	598	182
IMG_9556a	imagenet_images_flickr/n01829413/494316980.jpg	n01829413	hornbill	414	217
On The Look Out	imagenet_images_flickr/n02129165/109340986.jpg	n02129165	lion	190	112
Sea Nettle Jellyfish	imagenet_images_flickr/n01910747/84665599.jpg	n01910747	jellyfish	647	98
_D2X3801	imagenet_images_flickr/n02137549/2161022305.jpg	n02137549	mongoose	74	231
Birthday Sombrero  & Shmemily!	imagenet_images_flickr/n04259630/2746266010.jpg	n04259630	sombrero	925	49
DPP_0134	imagenet_images_flickr/n04296562/355415150.jpg	n04296562	stage	804	123
My Desk - 6/25	imagenet_images_flickr/n03179701/630311005.jpg	n03179701	desk	313	46
Shroom Ocean Hemp Necklace	imagenet_images_flickr/n03814906/2324927714.jpg	n03814906	necklace	755	83
A Touch of Color in a Rainy World	imagenet_images_flickr/n02793495/463081195.jpg	n02793495	barn	683	100
2 rote Schirme allein im Wald...	imagenet_images_flickr/n12998815/2849830553.jpg	n12998815	agaric	913	106
hissing cockroach	imagenet_images_flickr/n02233338/1352585123.jpg	n02233338	cockroach	634	34
Ducks off!	imagenet_images_flickr/n01847000/1789196767.jpg	n01847000	drake	418	101
New Year kimono	imagenet_images_flickr/n03617480/2157073045.jpg	n03617480	kimono	770	29
Rainbow Lorikeet	imagenet_images_flickr/n01820546/354784089.jpg	n01820546	lorikeet	411	58
Monarch Butterfly DSC_0001 (1)	imagenet_images_flickr/n02279972/1404523957.jpg	n02279972	monarch	643	157
1.30.06 4	imagenet_images_flickr/n02105162/979849082.jpg	n02105162	malinois	51	41
new hankies for renegade-chicago	imagenet_images_flickr/n03485794/2842897651.jpg	n03485794	handkerchief	750	241
Orfordness Lighthouse, Suffolk	imagenet_images_flickr/n02814860/2729105104.jpg	n02814860	beacon	733	5
水母	imagenet_images_flickr/n01910747/3272016064.jpg	n01910747	jellyfish	647	98
January 24, 2008	imagenet_images_flickr/n03207941/2217185610.jpg	n03207941	dishwasher	667	237
Modern greenhouse	imagenet_images_flickr/n03457902/115433547.jpg	n03457902	greenhouse	684	77
Mushroom	imagenet_images_flickr/n07734744/2467391289.jpg	n07734744	mushroom	746	85
Fair Bean Coffee Shop - Espresso Blend	imagenet_images_flickr/n07920052/2098789888.jpg	n07920052	espresso	947	16
Stirling Castle	imagenet_images_flickr/n02980441/3200129188.jpg	n02980441	castle	701	129
Pygmy Marmoset	imagenet_images_flickr/n02490219/1680215578.jpg	n02490219	marmoset	175	44
Broccoli Bowl	imagenet_images_flickr/n07714990/2889733985.jpg	n07714990	broccoli	737	45
sleepy tabby	imagenet_images_flickr/n02123045/484283126.jpg	n02123045	tabby	174	73
Turbo Cockroach	imagenet_images_flickr/n02233338/2892836798.jpg	n02233338	cockroach	634	34
pomegranate	imagenet_images_flickr/n07768694/1332987735.jpg	n07768694	pomegranate	326	207
Boxer	imagenet_images_flickr/n02108089/157568301.jpg	n02108089	boxer	130	240
Cadillac Convertible - 1953	imagenet_images_flickr/n03100240/487554638.jpg	n03100240	convertible	268	125
born on 12/14/2007	imagenet_images_flickr/n02342885/2193146253.jpg	n02342885	hamster	157	183
Golden Gate Bridge	imagenet_images_flickr/n03933933/2453535862.jpg	n03933933	pier	596	218
COOL PUCH!	imagenet_images_flickr/n03785016/1570009221.jpg	n03785016	moped	277	119
cheetah cubs	imagenet_images_flickr/n02130308/466228806.jpg	n02130308	cheetah	206	124
Meditating Gorilla	imagenet_images_flickr/n02480855/827601352.jpg	n02480855	gorilla	104	208
slug	imagenet_images_flickr/n01945685/275041636.jpg	n01945685	slug	654	10
Grandmothers Fav Dishcloth	imagenet_images_flickr/n03207743/2281477122.jpg	n03207743	dishrag	821	56
Baby Borscht and Broccoli (Wide Squat Pose)	imagenet_images_flickr/n07714990/2433266581.jpg	n07714990	broccoli	737	45
CIMG2467	imagenet_images_flickr/n02790996/561908964.jpg	n02790996	barbell	916	42
couscous, broccoli and no-beef strips	imagenet_images_flickr/n07714990/2321151563.jpg	n07714990	broccoli	737	45
Happy dog on a hot day	imagenet_images_flickr/n02110958/27802021.jpg	n02110958	pug	143	169
Sipadan	imagenet_images_flickr/n02526121/2740978210.jpg	n02526121	eel	451	152
Slug on Corydalis	imagenet_images_flickr/n01945685/517129529.jpg	n01945685	slug	654	10
Happy Lorikeet	imagenet_images_flickr/n01820546/498914628.jpg	n01820546	lorikeet	411	58
吹蠟燭囉	imagenet_images_flickr/n02948072/3353309555.jpg	n02948072	candle	591	130
Porsche 911 Convertible	imagenet_images_flickr/n03100240/3794945487.jpg	n03100240	convertible	268	125
DSCN1157	imagenet_images_flickr/n02096177/353109267.jpg	n02096177	cairn	91	149
espresso nirvana	imagenet_images_flickr/n07920052/373672241.jpg	n07920052	espresso	947	16
Desert firetail damselfly (Telebasis salva)	imagenet_images_flickr/n02268853/3215478085.jpg	n02268853	damselfly	640	72
Toucan	imagenet_images_flickr/n01843383/2413762179.jpg	n01843383	toucan	417	203
Spiny fella	imagenet_images_flickr/n02643566/358220465.jpg	n02643566	lionfish	454	68
100_1399	imagenet_images_flickr/n01833805/2747849327.jpg	n01833805	hummingbird	415	160
Green Peafowl	imagenet_images_flickr/n01806143/2900106568.jpg	n01806143	peacock	405	201
Aprons 013-5	imagenet_images_flickr/n02730930/2843550614.jpg	n02730930	apron	845	70
This little chickadee was checking out this birdhouse in our backyard.....	imagenet_images_flickr/n02843684/3041245055.jpg	n02843684	birdhouse	839	57
Pasak Jolasit Dam, Nong Bua, Lopburi province, Thailand	imagenet_images_flickr/n03160309/2518709387.jpg	n03160309	dam	720	159
Model Kitchen	imagenet_images_flickr/n03761084/173578177.jpg	n03761084	microwave	661	199
Ocean Kim & Links VTR	imagenet_images_flickr/n01882714/400209709.jpg	n01882714	koala	213	187
Black Diamond Bakery ~ oldest brick oven in use west of the Mississippi River!	imagenet_images_flickr/n02776631/2349518396.jpg	n02776631	bakery	704	79
birds in snow junco	imagenet_images_flickr/n01534433/99878999.jpg	n01534433	junco	389	51
Snail House	imagenet_images_flickr/n01944390/3507952859.jpg	n01944390	snail	653	223
AOH Parade Draperstown 2007 Blessing of New Band Uniforms and Instruments	imagenet_images_flickr/n02672831/2227626186.jpg	n02672831	accordion	223	21
Farmfresh strawberry	imagenet_images_flickr/n07745940/393960757.jpg	n07745940	strawberry	229	133
Sand Beach - Acadia	imagenet_images_flickr/n09421951/2690471822.jpg	n09421951	sandbar	364	89
flora espresso cups + saucers!	imagenet_images_flickr/n07920052/1415091418.jpg	n07920052	espresso	947	16
Anthi Marina	imagenet_images_flickr/n09428293/790002452.jpg	n09428293	seashore	367	63
IMG_2684	imagenet_images_flickr/n02279972/272859108.jpg	n02279972	monarch	643	157
Red Ribbons and the Maypole	imagenet_images_flickr/n03733131/143836436.jpg	n03733131	maypole	598	182
Another Baby	imagenet_images_flickr/n02091134/60845061.jpg	n02091134	whippet	20	92
Swyambhunath Stupa, monkey temple :-)	imagenet_images_flickr/n04346328/433245521.jpg	n04346328	stupa	692	113
Beautiful bird 靓丽	imagenet_images_flickr/n02012849/751681758.jpg	n02012849	crane	429	166
Family of mongooses	imagenet_images_flickr/n02137549/354077290.jpg	n02137549	mongoose	74	231
冰河湖岸張望系列	imagenet_images_flickr/n09332890/69092068.jpg	n09332890	lakeside	366	91
Almost there	imagenet_images_flickr/n02342885/440186256.jpg	n02342885	hamster	157	183
Hokkaido	imagenet_images_flickr/n07579787/3446476209.jpg	n07579787	plate	754	3
Got Somethin' To Eat?	imagenet_images_flickr/n02108089/192743842.jpg	n02108089	boxer	130	240
hippo morning	imagenet_images_flickr/n02398521/230727810.jpg	n02398521	hippopotamus	167	81
Interpreter please....Ein Dolmetsch muß her...	imagenet_images_flickr/n02110806/1216147552.jpg	n02110806	basenji	84	115
Tussle for the bones.	imagenet_images_flickr/n02129165/2222246266.jpg	n02129165	lion	190	112
Thatched Roof...	imagenet_images_flickr/n04417672/868627087.jpg	n04417672	thatch	989	40
Egyptian obelisk Cleopatra's Needle, Obélisque de Luxor	imagenet_images_flickr/n03837869/2196443946.jpg	n03837869	obelisk	699	27
Diva by the sea	imagenet_images_flickr/n02091134/272397485.jpg	n02091134	whippet	20	92
Ant Battle 5	imagenet_images_flickr/n02219486/17081114.jpg	n02219486	ant	224	137
蠟燭在流淚	imagenet_images_flickr/n02948072/209202342.jpg	n02948072	candle	591	130
Mommy Reads to Cairo	imagenet_images_flickr/n02108089/74189897.jpg	n02108089	boxer	130	240
298 - Dominique's moped died suddenly and suspiciously	imagenet_images_flickr/n03785016/698727559.jpg	n03785016	moped	277	119
lorikeet	imagenet_images_flickr/n01820546/31996043.jpg	n01820546	lorikeet	411	58
Dell laptop plastic	imagenet_images_flickr/n03642806/144347766.jpg	n03642806	laptop	228	82
Broccoli vs Broccoli Sprouts	imagenet_images_flickr/n07714990/3130588009.jpg	n07714990	broccoli	737	45
Western Arrival	imagenet_images_flickr/n02690373/252815115.jpg	n02690373	airliner	230	28
Cicada	imagenet_images_flickr/n02256656/2728242223.jpg	n02256656	cicada	636	189
slug	imagenet_images_flickr/n01945685/223227652.jpg	n01945685	slug	654	10
View from the Hewenden Railway Viaduct	imagenet_images_flickr/n04532670/2614046596.jpg	n04532670	viaduct	682	143
eel, japanese garden of contemplation	imagenet_images_flickr/n02526121/2424958308.jpg	n02526121	eel	451	152
Beak of toucan	imagenet_images_flickr/n01843383/2705180134.jpg	n01843383	toucan	417	203
4 Queens Silver Strike	imagenet_images_flickr/n04243546/2775558047.jpg	n04243546	slot	557	36
chow darling	imagenet_images_flickr/n02112137/1096324322.jpg	n02112137	chow	168	185
IMG_5876	imagenet_images_flickr/n02488291/120594416.jpg	n02488291	langur	203	221
Southwick Zoo.	imagenet_images_flickr/n01518878/2543584621.jpg	n01518878	ostrich	385	23
flickr_DSCI0863	imagenet_images_flickr/n04482393/275153239.jpg	n04482393	tricycle	291	249
網路企劃總監的辦公桌	imagenet_images_flickr/n03179701/3700196466.jpg	n03179701	desk	313	46
Bosworth Spindle	imagenet_images_flickr/n04277352/761932684.jpg	n04277352	spindle	775	26
Gondolas on Grand Canal	imagenet_images_flickr/n03447447/993778556.jpg	n03447447	gondola	236	74
Goldfinches	imagenet_images_flickr/n01531178/2786874375.jpg	n01531178	goldfinch	387	95
Grand Geyser, 2	imagenet_images_flickr/n09288635/2968001709.jpg	n09288635	geyser	368	229
A nice sized Red Starfish.	imagenet_images_flickr/n02317335/1475134806.jpg	n02317335	starfish	225	163
Red Colobus Monkey, Zanzibar	imagenet_images_flickr/n02488702/1849077944.jpg	n02488702	colobus	54	234
Siamang primate	imagenet_images_flickr/n02483708/875443130.jpg	n02483708	siamang	122	97
AK Denali Porcupine Visitor	imagenet_images_flickr/n02346627/1033510867.jpg	n02346627	porcupine	13	228
Our friend the marmot	imagenet_images_flickr/n02361337/2855058.jpg	n02361337	marmot	183	138
Well?	imagenet_images_flickr/n04376876/191885303.jpg	n04376876	syringe	531	179
Mendocino Headlands State Park	imagenet_images_flickr/n09399592/3359863953.jpg	n09399592	promontory	363	188
Jay	imagenet_images_flickr/n01580077/1785487428.jpg	n01580077	jay	393	12
Texas Crawfish	imagenet_images_flickr/n01985128/2207094684.jpg	n01985128	crayfish	619	134
hand dyed handspun socks	imagenet_images_flickr/n04254777/2363730634.jpg	n04254777	sock	986	15
fruit	imagenet_images_flickr/n07753592/523822879.jpg	n07753592	banana	323	215
Murmeltiere (Alpine Marmot) - 02	imagenet_images_flickr/n02361337/192830251.jpg	n02361337	marmot	183	138
Scolopendra and Land Snail	imagenet_images_flickr/n01784675/221684454.jpg	n01784675	centipede	611	242
Neumatic Potato Gun - Valve	imagenet_images_flickr/n02950826/193204169.jpg	n02950826	cannon	539	238
.	imagenet_images_flickr/n03355925/376948072.jpg	n03355925	flagpole	995	108
hornbill	imagenet_images_flickr/n01829413/220907589.jpg	n01829413	hornbill	414	217
Lighthouse Point	imagenet_images_flickr/n02814860/700816526.jpg	n02814860	beacon	733	5
Big burrito	imagenet_images_flickr/n07880968/25122199.jpg	n07880968	burrito	900	55
DSC06812	imagenet_images_flickr/n03673027/2571807882.jpg	n03673027	liner	244	71
Bonnet brun orange et beige	imagenet_images_flickr/n02869837/3150028603.jpg	n02869837	bonnet	805	39
Abyssinian Ground Hornbill	imagenet_images_flickr/n01829413/558652580.jpg	n01829413	hornbill	414	217
Basalt Cliffs	imagenet_images_flickr/n09246464/863653978.jpg	n09246464	cliff	359	246
Starfish	imagenet_images_flickr/n02317335/320007779.jpg	n02317335	starfish	225	163
Relaxed	imagenet_images_flickr/n02110063/598041945.jpg	n02110063	malamute	15	118
Lemon seller	imagenet_images_flickr/n07749582/1568211277.jpg	n07749582	lemon	320	171
1 unid fly	imagenet_images_flickr/n02190166/1434586038.jpg	n02190166	fly	629	93
Birdie Pillow 1	imagenet_images_flickr/n03938244/2557057249.jpg	n03938244	pillow	888	192
sand bar lovo (30)	imagenet_images_flickr/n09421951/145093069.jpg	n09421951	sandbar	364	89
Junco	imagenet_images_flickr/n01534433/118370229.jpg	n01534433	junco	389	51
Hyena	imagenet_images_flickr/n02117135/119449708.jpg	n02117135	hyena	34	126
microwave + toaster oven = delicious	imagenet_images_flickr/n03761084/4604476.jpg	n03761084	microwave	661	199
Front of the house @ The City Bakery	imagenet_images_flickr/n02776631/124637561.jpg	n02776631	bakery	704	79
Sandhill Crane flyby	imagenet_images_flickr/n02012849/377873165.jpg	n02012849	crane	429	166
Bacon & Pineapple Pizza	imagenet_images_flickr/n07873807/2574562240.jpg	n07873807	pizza	948	245
Are you looking at me?	imagenet_images_flickr/n02437616/569360640.jpg	n02437616	llama	186	1
starfish	imagenet_images_flickr/n02317335/155951147.jpg	n02317335	starfish	225	163
Top View	imagenet_images_flickr/n02256656/2634330489.jpg	n02256656	cicada	636	189
2008JUL021158	imagenet_images_flickr/n07749582/2629243065.jpg	n07749582	lemon	320	171
mittens a4A	imagenet_images_flickr/n03775071/2794153094.jpg	n03775071	mitten	871	62
The picture of precious	imagenet_images_flickr/n02123045/639344895.jpg	n02123045	tabby	174	73
mary margaret twatt	imagenet_images_flickr/n02892201/2927213217.jpg	n02892201	brass	716	176
The iPod Shuffle peeks out of the safety of its conch-shell home	imagenet_images_flickr/n01943899/1278861409.jpg	n01943899	conch	652	117
Boyfriend Socks - finally finished!	imagenet_images_flickr/n04254777/825879263.jpg	n04254777	sock	986	15
an unpleased Navajo-Churro ram	imagenet_images_flickr/n02412080/394302987.jpg	n02412080	ram	81	136
Tanger/Tangier, Morocco	imagenet_images_flickr/n04259630/2606984305.jpg	n04259630	sombrero	925	49
king bolete mushroom	imagenet_images_flickr/n13054560/3047811958.jpg	n13054560	bolete	981	140
Riding the Carousel with Mother	imagenet_images_flickr/n02966193/49320177.jpg	n02966193	carousel	568	178
Redshank	imagenet_images_flickr/n02028035/2883063862.jpg	n02028035	redshank	435	53
Abominable padlock	imagenet_images_flickr/n03874599/487952340.jpg	n03874599	padlock	584	94
Albatross	imagenet_images_flickr/n02058221/492092044.jpg	n02058221	albatross	441	102
Guacamole	imagenet_images_flickr/n07583066/3348574392.jpg	n07583066	guacamole	813	236
Paws	imagenet_images_flickr/n02127052/407588253.jpg	n02127052	lynx	201	151
Hip	imagenet_images_flickr/n12620546/226881176.jpg	n12620546	hip	328	35
More Fun with Fruit	imagenet_images_flickr/n07753592/2377573821.jpg	n07753592	banana	323	215
Rapeseed (Canola) fields	imagenet_images_flickr/n11879895/2470704760.jpg	n11879895	rapeseed	330	114
He's got mad accordion skills 09	imagenet_images_flickr/n02672831/280394394.jpg	n02672831	accordion	223	21
Felted Knit Mushrooms	imagenet_images_flickr/n07734744/2130056008.jpg	n07734744	mushroom	746	85
Praying Mantis	imagenet_images_flickr/n02236044/1802690806.jpg	n02236044	mantis	635	190
Pomegranate Story 08-24-07	imagenet_images_flickr/n07768694/1363036311.jpg	n07768694	pomegranate	326	207
Birds gone wild!	imagenet_images_flickr/n01855672/377511295.jpg	n01855672	goose	420	127
Robin Hood	imagenet_images_flickr/n07802026/2757578284.jpg	n07802026	hay	816	88
Old Tractor/New Weeds	imagenet_images_flickr/n04465501/142884536.jpg	n04465501	tractor	289	155
Gondolas at twilight II	imagenet_images_flickr/n03447447/2676012857.jpg	n03447447	gondola	236	74
INDIA - IN THE JUNGLE	imagenet_images_flickr/n01871265/2049215910.jpg	n01871265	tusker	214	142
David Wright standing in Yankee Stadium	imagenet_images_flickr/n09835506/2546342139.jpg	n09835506	ballplayer	954	147
Strawberry	imagenet_images_flickr/n07745940/238751297.jpg	n07745940	strawberry	229	133
Balle fieno 1	imagenet_images_flickr/n07802026/178437188.jpg	n07802026	hay	816	88
Feather, the Sicilian Buttercup hen	imagenet_images_flickr/n01514859/89904531.jpg	n01514859	hen	384	31
Triceratops & Clown	imagenet_images_flickr/n01704323/25816580.jpg	n01704323	triceratops	474	146
Obelisk on Piazza del Popolo	imagenet_images_flickr/n03837869/2331038787.jpg	n03837869	obelisk	699	27
Colors of Courtship	imagenet_images_flickr/n01806143/2527215406.jpg	n01806143	peacock	405	201
give us a kissss	imagenet_images_flickr/n02229544/2102176008.jpg	n02229544	cricket	632	75
DSC_0100	imagenet_images_flickr/n01558993/2424408952.jpg	n01558993	robin	391	233
Iceland	imagenet_images_flickr/n03355925/938101273.jpg	n03355925	flagpole	995	108
Pineapple at Dole	imagenet_images_flickr/n07753275/252554146.jpg	n07753275	pineapple	322	220
1900 Storm Memorial Plaque - Galveston Seawall	imagenet_images_flickr/n02892201/1428569554.jpg	n02892201	brass	716	176
Chimpanzee	imagenet_images_flickr/n02481823/190844510.jpg	n02481823	chimpanzee	96	226
Bighorn 03	imagenet_images_flickr/n02415577/2173692691.jpg	n02415577	bighorn	52	209
